"h24_30vD and h24_45vD","h8_45vD and h24_45vD","h8_30vD and h24_45vD","h24_45vD and h24_30vD","h8_45vD and h24_30vD","h8_30vD and h24_30vD","h24_45vD and h8_45vD","h24_30vD and h8_45vD","h8_30vD and h8_45vD","h24_45vD and h8_30vD","h24_30vD and h8_30vD","h8_45vD and h8_30vD","h24_45vD","h24_30vD and not h24_45vD","h8_45vD and not h24_45vD","h8_30vD and not h24_45vD","h24_45vD and not h24_30vD","h24_30vD","h8_45vD and not h24_30vD","h8_30vD and not h24_30vD","h24_45vD and not h8_45vD","h24_30vD and not h8_45vD","h8_45vD","h8_30vD and not h8_45vD","h24_45vD and not h8_30vD","h24_30vD and not h8_30vD","h8_45vD and not h8_30vD","h8_30vD"
"1358","PGM2","PPARG","","PHKA1","","PRPF38A","","","","","","","","","","","","","","","","","","","","","",""
"1359","PGM2L1","PPDPF","","PHLDB3","","PRPF4B","","","","","","","","","","","","","","","","","","","","","",""
"1360","PGPEP1","PPHLN1","","PHRF1","","PRPF6","","","","","","","","","","","","","","","","","","","","","",""
"1361","PGRMC1","PPIE","","PHTF1","","PRPS2","","","","","","","","","","","","","","","","","","","","","",""
"1362","PHC1","PPIG","","PHTF2","","PRR11","","","","","","","","","","","","","","","","","","","","","",""
"1363","PHC2","PPIH","","PI15","","PRR14","","","","","","","","","","","","","","","","","","","","","",""
"1364","PHGDH","PPM1A","","PIAS1","","PRRC1","","","","","","","","","","","","","","","","","","","","","",""
"1365","PHKA1","PPM1E","","PIEZO1","","PRRC2B","","","","","","","","","","","","","","","","","","","","","",""
"1366","PHLDB3","PPM1M","","PIF1","","PRRT3","","","","","","","","","","","","","","","","","","","","","",""
"1367","PHRF1","PPP1CC","","PIGH","","PRUNE2","","","","","","","","","","","","","","","","","","","","","",""
"1368","PHTF1","PPP1R15A","","PIGQ","","PSMA2","","","","","","","","","","","","","","","","","","","","","",""
"1369","PHTF2","PPP2R1A","","PIK3R1","","PSMA4","","","","","","","","","","","","","","","","","","","","","",""
"1370","PI15","PPP2R1B","","PIK3R4","","PSMA5","","","","","","","","","","","","","","","","","","","","","",""
"1371","PIAS1","PPP2R3A","","PITPNM3","","PSMB2","","","","","","","","","","","","","","","","","","","","","",""
"1372","PIEZO1","PPP2R5B","","PJA2","","PSMC1","","","","","","","","","","","","","","","","","","","","","",""
"1373","PIF1","PPP2R5D","","PKD1","","PSMC2","","","","","","","","","","","","","","","","","","","","","",""
"1374","PIGH","PRC1","","PKN1","","PSMD1","","","","","","","","","","","","","","","","","","","","","",""
"1375","PIGQ","PRDM2","","PLA2G12A","","PSMD12","","","","","","","","","","","","","","","","","","","","","",""
"1376","PIK3R1","PRDM4","","PLA2G4C","","PSMD3","","","","","","","","","","","","","","","","","","","","","",""
"1377","PIK3R4","PRDX3","","PLAA","","PSMD6","","","","","","","","","","","","","","","","","","","","","",""
"1378","PITPNM3","PREP","","PLCG2","","PSRC1","","","","","","","","","","","","","","","","","","","","","",""
"1379","PJA2","PREX2","","PLEC","","PTCH1","","","","","","","","","","","","","","","","","","","","","",""
"1380","PKD1","PRIMA1","","PLEKHA6","","PTGS1","","","","","","","","","","","","","","","","","","","","","",""
"1381","PKN1","PRKAB1","","PLEKHA7","","PTMA","","","","","","","","","","","","","","","","","","","","","",""
"1382","PLA2G12A","PRKAB2","","PLEKHN1","","PTP4A1","","","","","","","","","","","","","","","","","","","","","",""
"1383","PLA2G4C","PRKACA","","PLIN3","","PTP4A2","","","","","","","","","","","","","","","","","","","","","",""
"1384","PLAA","PRKAR2B","","PLIN4","","PTPDC1","","","","","","","","","","","","","","","","","","","","","",""
"1385","PLCG2","PRMT7","","PLK1","","PTPLAD1","","","","","","","","","","","","","","","","","","","","","",""
"1386","PLEC","PRNP","","PLK1S1","","PTPN11","","","","","","","","","","","","","","","","","","","","","",""
"1387","PLEKHA6","PROM1","","PLK3","","PTPN12","","","","","","","","","","","","","","","","","","","","","",""
"1388","PLEKHA7","PROSER1","","PLLP","","PTPN9","","","","","","","","","","","","","","","","","","","","","",""
"1389","PLEKHN1","PRPF38A","","PLOD1","","PTPRB","","","","","","","","","","","","","","","","","","","","","",""
"1390","PLIN3","PRPF40B","","PLOD3","","PTPRS","","","","","","","","","","","","","","","","","","","","","",""
"1391","PLIN4","PRPF4B","","PLSCR1","","PTTG1","","","","","","","","","","","","","","","","","","","","","",""
"1392","PLK1","PRPF6","","PLTP","","PUM1","","","","","","","","","","","","","","","","","","","","","",""
"1393","PLK1S1","PRPS2","","PLXNA2","","PVR","","","","","","","","","","","","","","","","","","","","","",""
"1394","PLK3","PRR11","","PLXNA3","","PVRL3","","","","","","","","","","","","","","","","","","","","","",""
"1395","PLLP","PRR14","","PMAIP1","","PWWP2B","","","","","","","","","","","","","","","","","","","","","",""
"1396","PLOD1","PRRC1","","PMM1","","PXMP4","","","","","","","","","","","","","","","","","","","","","",""
"1397","PLOD3","PRRC2B","","PNP","","PYGB","","","","","","","","","","","","","","","","","","","","","",""
"1398","PLSCR1","PRRT3","","POC1B","","PYGL","","","","","","","","","","","","","","","","","","","","","",""
"1399","PLTP","PRUNE2","","POLL","","PYROXD1","","","","","","","","","","","","","","","","","","","","","",""
"1400","PLXNA2","PSMA2","","POLR2B","","ProSAPiP1","","","","","","","","","","","","","","","","","","","","","",""
"1401","PLXNA3","PSMA4","","POLR2I","","QARS","","","","","","","","","","","","","","","","","","","","","",""
"1402","PMAIP1","PSMA5","","POLR2K","","QPRT","","","","","","","","","","","","","","","","","","","","","",""
"1403","PMM1","PSMB2","","POLR2L","","QSOX2","","","","","","","","","","","","","","","","","","","","","",""
"1404","PNP","PSMC1","","POLR3C","","R3HDM4","","","","","","","","","","","","","","","","","","","","","",""
"1405","POC1B","PSMC2","","POLR3D","","RAB10","","","","","","","","","","","","","","","","","","","","","",""
"1406","POLL","PSMD1","","POLR3E","","RAB11FIP4","","","","","","","","","","","","","","","","","","","","","",""
"1407","POLR2B","PSMD12","","POP1","","RAB11FIP5","","","","","","","","","","","","","","","","","","","","","",""
"1408","POLR2I","PSMD3","","PORCN","","RAB1A","","","","","","","","","","","","","","","","","","","","","",""
"1409","POLR2K","PSMD6","","PPARG","","RAB1B","","","","","","","","","","","","","","","","","","","","","",""
"1410","POLR2L","PSPH","","PPDPF","","RAB24","","","","","","","","","","","","","","","","","","","","","",""
"1411","POLR3C","PSRC1","","PPHLN1","","RAB25","","","","","","","","","","","","","","","","","","","","","",""
"1412","POLR3D","PTCH1","","PPIE","","RAB32","","","","","","","","","","","","","","","","","","","","","",""
"1413","POLR3E","PTGS1","","PPIG","","RAB39B","","","","","","","","","","","","","","","","","","","","","",""
"1414","POP1","PTMA","","PPIH","","RAB3A","","","","","","","","","","","","","","","","","","","","","",""
"1415","PORCN","PTP4A1","","PPM1A","","RAB3GAP1","","","","","","","","","","","","","","","","","","","","","",""
"1416","PPARG","PTP4A2","","PPM1E","","RAB3IL1","","","","","","","","","","","","","","","","","","","","","",""
"1417","PPDPF","PTPDC1","","PPM1M","","RAB3IP","","","","","","","","","","","","","","","","","","","","","",""
"1418","PPHLN1","PTPLAD1","","PPP1CC","","RAB40B","","","","","","","","","","","","","","","","","","","","","",""
"1419","PPIE","PTPN11","","PPP1R15A","","RAB4A","","","","","","","","","","","","","","","","","","","","","",""
"1420","PPIG","PTPN12","","PPP2R1A","","RAB6A","","","","","","","","","","","","","","","","","","","","","",""
"1421","PPIH","PTPN9","","PPP2R1B","","RAB8A","","","","","","","","","","","","","","","","","","","","","",""
"1422","PPM1A","PTPRB","","PPP2R3A","","RAB8B","","","","","","","","","","","","","","","","","","","","","",""
"1423","PPM1E","PTPRS","","PPP2R5B","","RABEPK","","","","","","","","","","","","","","","","","","","","","",""
"1424","PPM1M","PTTG1","","PPP2R5D","","RABGAP1L","","","","","","","","","","","","","","","","","","","","","",""
"1425","PPP1CC","PUM1","","PRC1","","RACGAP1","","","","","","","","","","","","","","","","","","","","","",""
"1426","PPP1R15A","PVR","","PRDM2","","RAD21","","","","","","","","","","","","","","","","","","","","","",""
"1427","PPP2R1A","PVRL3","","PRDM4","","RAD50","","","","","","","","","","","","","","","","","","","","","",""
"1428","PPP2R1B","PWWP2B","","PRDX3","","RAD51D","","","","","","","","","","","","","","","","","","","","","",""
"1429","PPP2R3A","PXMP4","","PREP","","RAI2","","","","","","","","","","","","","","","","","","","","","",""
"1430","PPP2R5B","PYCR2","","PREX2","","RALGAPB","","","","","","","","","","","","","","","","","","","","","",""
"1431","PPP2R5D","PYGB","","PRIMA1","","RANBP6","","","","","","","","","","","","","","","","","","","","","",""
"1432","PRC1","PYGL","","PRKAB1","","RAP1GAP2","","","","","","","","","","","","","","","","","","","","","",""
"1433","PRDM2","PYROXD1","","PRKAB2","","RAPH1","","","","","","","","","","","","","","","","","","","","","",""
"1434","PRDM4","ProSAPiP1","","PRKACA","","RARRES2","","","","","","","","","","","","","","","","","","","","","",""
"1435","PRDX3","QARS","","PRKAR2B","","RARS","","","","","","","","","","","","","","","","","","","","","",""
"1436","PREP","QPRT","","PRMT7","","RASA1","","","","","","","","","","","","","","","","","","","","","",""
"1437","PREX2","QRICH1","","PRNP","","RASD1","","","","","","","","","","","","","","","","","","","","","",""
"1438","PRIMA1","QSOX2","","PROM1","","RASGRP1","","","","","","","","","","","","","","","","","","","","","",""
"1439","PRKAB1","R3HDM2","","PROSER1","","RASIP1","","","","","","","","","","","","","","","","","","","","","",""
"1440","PRKAB2","R3HDM4","","PRPF38A","","RBBP4","","","","","","","","","","","","","","","","","","","","","",""
"1441","PRKACA","RAB10","","PRPF40B","","RBBP7","","","","","","","","","","","","","","","","","","","","","",""
"1442","PRKAR2B","RAB11FIP4","","PRPF4B","","RBCK1","","","","","","","","","","","","","","","","","","","","","",""
"1443","PRMT7","RAB11FIP5","","PRPF6","","RBM12","","","","","","","","","","","","","","","","","","","","","",""
"1444","PRNP","RAB1A","","PRPS2","","RBM14","","","","","","","","","","","","","","","","","","","","","",""
"1445","PROM1","RAB1B","","PRR11","","RBM20","","","","","","","","","","","","","","","","","","","","","",""
"1446","PROSER1","RAB24","","PRR14","","RBMX","","","","","","","","","","","","","","","","","","","","","",""
"1447","PRPF38A","RAB25","","PRRC1","","RBMXL1","","","","","","","","","","","","","","","","","","","","","",""
"1448","PRPF40B","RAB32","","PRRC2B","","RBP1","","","","","","","","","","","","","","","","","","","","","",""
"1449","PRPF4B","RAB39B","","PRRT3","","RBX1","","","","","","","","","","","","","","","","","","","","","",""
"1450","PRPF6","RAB3A","","PRUNE2","","RCC2","","","","","","","","","","","","","","","","","","","","","",""
"1451","PRPS2","RAB3GAP1","","PSMA2","","RCN1","","","","","","","","","","","","","","","","","","","","","",""
"1452","PRR11","RAB3IL1","","PSMA4","","RCN2","","","","","","","","","","","","","","","","","","","","","",""
"1453","PRR14","RAB3IP","","PSMA5","","RCOR3","","","","","","","","","","","","","","","","","","","","","",""
"1454","PRRC1","RAB40B","","PSMB2","","RECQL","","","","","","","","","","","","","","","","","","","","","",""
"1455","PRRC2B","RAB4A","","PSMC1","","RELB","","","","","","","","","","","","","","","","","","","","","",""
"1456","PRRT3","RAB6A","","PSMC2","","RERE","","","","","","","","","","","","","","","","","","","","","",""
"1457","PRUNE2","RAB8A","","PSMD1","","RETSAT","","","","","","","","","","","","","","","","","","","","","",""
"1458","PSMA2","RAB8B","","PSMD12","","RFFL","","","","","","","","","","","","","","","","","","","","","",""
"1459","PSMA4","RABEPK","","PSMD3","","RFNG","","","","","","","","","","","","","","","","","","","","","",""
"1460","PSMA5","RABGAP1L","","PSMD6","","RFT1","","","","","","","","","","","","","","","","","","","","","",""
"1461","PSMB2","RACGAP1","","PSPH","","RFTN1","","","","","","","","","","","","","","","","","","","","","",""
"1462","PSMC1","RAD21","","PSRC1","","RFX2","","","","","","","","","","","","","","","","","","","","","",""
"1463","PSMC2","RAD23A","","PTCH1","","RFXANK","","","","","","","","","","","","","","","","","","","","","",""
"1464","PSMD1","RAD50","","PTGS1","","RG9MTD1","","","","","","","","","","","","","","","","","","","","","",""
"1465","PSMD12","RAD51D","","PTMA","","RG9MTD3","","","","","","","","","","","","","","","","","","","","","",""
"1466","PSMD3","RAI2","","PTP4A1","","RGL3","","","","","","","","","","","","","","","","","","","","","",""
"1467","PSMD6","RALGAPB","","PTP4A2","","RGS19","","","","","","","","","","","","","","","","","","","","","",""
"1468","PSPH","RANBP6","","PTPDC1","","RGS20","","","","","","","","","","","","","","","","","","","","","",""
"1469","PSRC1","RAP1GAP2","","PTPLAD1","","RGS3","","","","","","","","","","","","","","","","","","","","","",""
"1470","PTCH1","RAPH1","","PTPN11","","RHEBL1","","","","","","","","","","","","","","","","","","","","","",""
"1471","PTGS1","RARRES2","","PTPN12","","RHOBTB2","","","","","","","","","","","","","","","","","","","","","",""
"1472","PTMA","RARS","","PTPN9","","RHOD","","","","","","","","","","","","","","","","","","","","","",""
"1473","PTP4A1","RASA1","","PTPRB","","RHOF","","","","","","","","","","","","","","","","","","","","","",""
"1474","PTP4A2","RASD1","","PTPRS","","RIC8A","","","","","","","","","","","","","","","","","","","","","",""
"1475","PTPDC1","RASGRP1","","PTTG1","","RIC8B","","","","","","","","","","","","","","","","","","","","","",""
"1476","PTPLAD1","RASIP1","","PUM1","","RILPL1","","","","","","","","","","","","","","","","","","","","","",""
"1477","PTPN11","RBBP4","","PVR","","RINL","","","","","","","","","","","","","","","","","","","","","",""
"1478","PTPN12","RBBP7","","PVRL3","","RIOK3","","","","","","","","","","","","","","","","","","","","","",""
"1479","PTPN9","RBBP8","","PWWP2B","","RLTPR","","","","","","","","","","","","","","","","","","","","","",""
"1480","PTPRB","RBCK1","","PXMP4","","RMND1","","","","","","","","","","","","","","","","","","","","","",""
"1481","PTPRS","RBM12","","PYCR1","","RNF114","","","","","","","","","","","","","","","","","","","","","",""
"1482","PTTG1","RBM14","","PYCR2","","RNF125","","","","","","","","","","","","","","","","","","","","","",""
"1483","PUM1","RBM20","","PYGB","","RNF14","","","","","","","","","","","","","","","","","","","","","",""
"1484","PVR","RBMX","","PYGL","","RNF165","","","","","","","","","","","","","","","","","","","","","",""
"1485","PVRL3","RBMXL1","","PYROXD1","","RNF166","","","","","","","","","","","","","","","","","","","","","",""
"1486","PWWP2B","RBP1","","ProSAPiP1","","RNF185","","","","","","","","","","","","","","","","","","","","","",""
"1487","PXMP4","RBX1","","QARS","","RNF187","","","","","","","","","","","","","","","","","","","","","",""
"1488","PYCR1","RCC2","","QPRT","","RNF19B","","","","","","","","","","","","","","","","","","","","","",""
"1489","PYCR2","RCN1","","QRICH1","","RNF216","","","","","","","","","","","","","","","","","","","","","",""
"1490","PYGB","RCN2","","QSOX2","","RNF219","","","","","","","","","","","","","","","","","","","","","",""
"1491","PYGL","RCOR3","","R3HDM2","","RNF26","","","","","","","","","","","","","","","","","","","","","",""
"1492","PYROXD1","RECQL","","R3HDM4","","RNF40","","","","","","","","","","","","","","","","","","","","","",""
"1493","ProSAPiP1","RELB","","RAB10","","RNF44","","","","","","","","","","","","","","","","","","","","","",""
"1494","QARS","RERE","","RAB11FIP4","","RNF6","","","","","","","","","","","","","","","","","","","","","",""
"1495","QPRT","RETSAT","","RAB11FIP5","","RNGTT","","","","","","","","","","","","","","","","","","","","","",""
"1496","QRICH1","RFFL","","RAB1A","","RP2","","","","","","","","","","","","","","","","","","","","","",""
"1497","QSOX2","RFNG","","RAB1B","","RPA1","","","","","","","","","","","","","","","","","","","","","",""
"1498","R3HDM2","RFT1","","RAB24","","RPA3","","","","","","","","","","","","","","","","","","","","","",""
"1499","R3HDM4","RFTN1","","RAB25","","RPF2","","","","","","","","","","","","","","","","","","","","","",""
"1500","RAB10","RFX2","","RAB32","","RPL10","","","","","","","","","","","","","","","","","","","","","",""
